"MU9305,广州白云机场,CAN,上海浦东机场,SHA,2016-06-27 11:25,2016-06-27 09:00,2:25,73H,东方航空,上海航空,HYZJ_ALL,会员价-头等舱,3280.0"
"MU9165,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 11:55,2016-06-27 09:30,2:25,73E,东方航空,上海航空,HYZJ_ALL,会员价-头等舱,3280.0"
"MU5303,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 13:00,2016-06-27 10:30,2:30,73E,东方航空,东方航空,HYZJ_ALL,会员价-头等舱,3280.0"
"MU9313,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 15:50,2016-06-27 13:30,2:20,763,东方航空,上海航空,HYZJ_ALL,会员价-头等舱,3280.0"
"MU9301,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 09:50,2016-06-27 07:30,2:20,333,东方航空,上海航空,COMMON_F,标准头等舱,3380.0"
"MU9303,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 10:55,2016-06-27 08:30,2:25,333,东方航空,上海航空,COMMON_F,标准头等舱,3380.0"
"MU9305,广州白云机场,CAN,上海浦东机场,SHA,2016-06-27 11:25,2016-06-27 09:00,2:25,73H,东方航空,上海航空,COMMON_F,标准头等舱,3380.0"
"MU9165,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 11:55,2016-06-27 09:30,2:25,73E,东方航空,上海航空,COMMON_F,标准头等舱,3380.0"
"MU5303,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 13:00,2016-06-27 10:30,2:30,73E,东方航空,东方航空,COMMON_F,标准头等舱,3380.0"
"MU5305,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 14:00,2016-06-27 11:30,2:30,321,东方航空,东方航空,COMMON_F,标准头等舱,3380.0"
"MU5307,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 15:00,2016-06-27 12:30,2:30,738,东方航空,东方航空,COMMON_F,标准头等舱,3380.0"
"MU9313,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 15:50,2016-06-27 13:30,2:20,763,东方航空,上海航空,COMMON_F,标准头等舱,3380.0"
"MU5311,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 16:55,2016-06-27 14:30,2:25,321,东方航空,东方航空,COMMON_F,标准头等舱,3380.0"
"MU9307,广州白云机场,CAN,上海虹桥机场,SHA,2016-06-27 17:55,2016-06-27 15:30,2:25,333,东方航空,上海航空,COMMON_F,标准头等舱,3380.0"
