"MU9312,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 20:00,2016-07-02 17:30,2:30,763,东方航空,上海航空,Y_E,青老年特惠,560.0"
"MU9314,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 22:05,2016-07-02 19:30,2:35,333,东方航空,上海航空,Y_E,青老年特惠,560.0"
"MU5320,上海浦东机场,SHA,广州白云机场,CAN,2016-07-02 22:20,2016-07-02 19:55,2:25,323,东方航空,东方航空,Y_E,青老年特惠,560.0"
"MU9312,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 20:00,2016-07-02 17:30,2:30,763,东方航空,上海航空,HYZJ_ALL,会员价-经济舱,570.0"
"MU9314,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 22:05,2016-07-02 19:30,2:35,333,东方航空,上海航空,HYZJ_ALL,会员价-经济舱,570.0"
"MU5320,上海浦东机场,SHA,广州白云机场,CAN,2016-07-02 22:20,2016-07-02 19:55,2:25,323,东方航空,东方航空,HYZJ_ALL,会员价-经济舱,570.0"
"MU9312,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 20:00,2016-07-02 17:30,2:30,763,东方航空,上海航空,COMMON_Z,超值经济舱,580.0"
"MU9314,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 22:05,2016-07-02 19:30,2:35,333,东方航空,上海航空,COMMON_Z,超值经济舱,580.0"
"MU5320,上海浦东机场,SHA,广州白云机场,CAN,2016-07-02 22:20,2016-07-02 19:55,2:25,323,东方航空,东方航空,COMMON_Z,超值经济舱,580.0"
"MU9304,上海浦东机场,SHA,广州白云机场,CAN,2016-07-02 09:55,2016-07-02 07:30,2:25,73H,东方航空,上海航空,HYZJ_ALL,会员价-经济舱,650.0"
"MU9304,上海浦东机场,SHA,广州白云机场,CAN,2016-07-02 09:55,2016-07-02 07:30,2:25,73H,东方航空,上海航空,COMMON_Y1,折扣经济舱,660.0"
"MU9310,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 14:55,2016-07-02 12:30,2:25,333,东方航空,上海航空,HYZJ_ALL,会员价-经济舱,670.0"
"MU9166,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 16:00,2016-07-02 13:30,2:30,73E,东方航空,上海航空,HYZJ_ALL,会员价-经济舱,670.0"
"MU5310,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 17:05,2016-07-02 14:30,2:35,325,东方航空,东方航空,HYZJ_ALL,会员价-经济舱,670.0"
"MU5312,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 18:00,2016-07-02 15:30,2:30,321,东方航空,东方航空,HYZJ_ALL,会员价-经济舱,670.0"
"MU5318,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 21:00,2016-07-02 18:30,2:30,321,东方航空,东方航空,HYZJ_ALL,会员价-经济舱,670.0"
"MU9316,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 23:00,2016-07-02 20:30,2:30,738,东方航空,上海航空,HYZJ_ALL,会员价-经济舱,670.0"
"MU9318,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 23:50,2016-07-02 21:30,2:20,73E,东方航空,上海航空,HYZJ_ALL,会员价-经济舱,670.0"
"MU9310,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 14:55,2016-07-02 12:30,2:25,333,东方航空,上海航空,COMMON_Y1,折扣经济舱,680.0"
"MU9166,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 16:00,2016-07-02 13:30,2:30,73E,东方航空,上海航空,COMMON_Y1,折扣经济舱,680.0"
"MU5310,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 17:05,2016-07-02 14:30,2:35,325,东方航空,东方航空,COMMON_Y1,折扣经济舱,680.0"
"MU5312,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 18:00,2016-07-02 15:30,2:30,321,东方航空,东方航空,COMMON_Y1,折扣经济舱,680.0"
"MU9312,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 20:00,2016-07-02 17:30,2:30,763,东方航空,上海航空,COMMON_Y1,折扣经济舱,680.0"
"MU5318,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 21:00,2016-07-02 18:30,2:30,321,东方航空,东方航空,COMMON_Y1,折扣经济舱,680.0"
"MU9314,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 22:05,2016-07-02 19:30,2:35,333,东方航空,上海航空,COMMON_Y1,折扣经济舱,680.0"
"MU5320,上海浦东机场,SHA,广州白云机场,CAN,2016-07-02 22:20,2016-07-02 19:55,2:25,323,东方航空,东方航空,COMMON_Y1,折扣经济舱,680.0"
"MU9316,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 23:00,2016-07-02 20:30,2:30,738,东方航空,上海航空,COMMON_Y1,折扣经济舱,680.0"
"MU9318,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 23:50,2016-07-02 21:30,2:20,73E,东方航空,上海航空,COMMON_Y1,折扣经济舱,680.0"
"MU9302,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 12:25,2016-07-02 09:55,2:30,763,东方航空,上海航空,HYZJ_ALL,会员价-经济舱,730.0"
"MU9306,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 14:05,2016-07-02 11:30,2:35,333,东方航空,上海航空,HYZJ_ALL,会员价-经济舱,730.0"
"MU5314,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 18:50,2016-07-02 16:30,2:20,73E,东方航空,东方航空,HYZJ_ALL,会员价-经济舱,730.0"
"MU9302,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 12:25,2016-07-02 09:55,2:30,763,东方航空,上海航空,COMMON_Y1,折扣经济舱,740.0"
"MU9306,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 14:05,2016-07-02 11:30,2:35,333,东方航空,上海航空,COMMON_Y1,折扣经济舱,740.0"
"MU5314,上海虹桥机场,SHA,广州白云机场,CAN,2016-07-02 18:50,2016-07-02 16:30,2:20,73E,东方航空,东方航空,COMMON_Y1,折扣经济舱,740.0"
